"Kod";"Nazwa";"ogółem;zające;1999;[tys. szt.]";"ogółem;zające;2000;[tys. szt.]";"ogółem;zające;2001;[tys. szt.]";"ogółem;zające;2002;[tys. szt.]";"ogółem;zające;2003;[tys. szt.]";"ogółem;zające;2004;[tys. szt.]";"ogółem;zające;2005;[tys. szt.]";"ogółem;zające;2006;[tys. szt.]";"ogółem;zające;2007;[tys. szt.]";"ogółem;zające;2008;[tys. szt.]";"ogółem;zające;2009;[tys. szt.]";"ogółem;zające;2010;[tys. szt.]";"ogółem;zające;2011;[tys. szt.]";"ogółem;zające;2012;[tys. szt.]";"ogółem;zające;2013;[tys. szt.]";"ogółem;zające;2014;[tys. szt.]";"ogółem;zające;2015;[tys. szt.]";"ogółem;zające;2016;[tys. szt.]";"ogółem;zające;2017;[tys. szt.]";"ogółem;zające;2018;[tys. szt.]";"ogółem;zające;2019;[tys. szt.]";
0000000;"POLSKA";;551,4;471,8;462,3;493,9;486,1;475,4;506,9;515,8;531,8;562,4;558,7;596,7;602,4;650,3;675,3;709,6;752,6;790,9;783,3;809,0;
0200000;"DOLNOŚLĄSKIE";;13,7;11,6;11,3;11,7;12,9;14,0;14,7;16,4;16,4;18,5;19,1;19,6;19,5;20,9;21,8;22,2;24,2;38,6;29,0;27,5;
0400000;"KUJAWSKO-POMORSKIE";;50,4;45,7;42,1;46,2;49,8;46,4;46,7;44,3;43,0;43,6;40,2;46,9;50,5;53,7;54,6;60,1;63,1;63,0;62,5;63,6;
0600000;"LUBELSKIE";;68,5;58,3;57,1;55,9;48,7;45,9;46,1;46,5;48,3;49,6;51,8;55,6;58,4;65,2;70,6;78,6;83,8;88,4;92,7;98,5;
0800000;"LUBUSKIE";;8,1;6,2;6,0;6,8;6,8;6,9;8,0;7,7;8,7;9,9;10,1;10,4;11,9;11,9;12,6;12,5;12,3;12,2;11,6;11,4;
1000000;"ŁÓDZKIE";;66,3;58,2;58,0;60,3;59,2;57,9;62,2;70,8;74,1;77,4;77,6;83,6;84,8;89,9;91,7;93,0;100,1;100,2;97,3;95,5;
1200000;"MAŁOPOLSKIE";;27,4;24,5;24,9;25,5;25,0;26,1;28,4;28,7;33,5;36,8;35,6;35,1;37,7;38,6;37,2;36,9;38,6;39,0;38,1;38,7;
1400000;"MAZOWIECKIE";;103,3;89,4;88,9;96,2;93,6;88,7;93,9;92,1;85,2;91,7;90,3;99,6;101,5;110,8;116,9;125,3;135,7;144,1;148,4;155,4;
1600000;"OPOLSKIE";;7,8;6,8;5,3;6,2;6,7;6,5;6,4;6,4;7,2;7,5;7,7;7,3;8,2;8,8;9,5;9,7;11,5;12,1;11,4;11,8;
1800000;"PODKARPACKIE";;31,9;22,3;21,1;19,8;19,1;17,3;17,0;16,0;17,9;17,8;17,6;16,9;17,8;17,9;19,4;20,1;21,3;22,1;21,4;22,6;
2000000;"PODLASKIE";;32,2;33,8;34,5;41,1;40,4;34,4;38,2;38,6;38,3;39,5;37,0;36,2;34,6;36,3;37,8;38,0;39,0;39,3;40,4;44,6;
2200000;"POMORSKIE";;14,3;11,8;11,1;11,7;11,7;11,7;12,7;13,3;14,0;15,5;16,3;18,0;20,3;24,7;26,4;27,6;31,3;35,4;35,2;36,9;
2400000;"ŚLĄSKIE";;17,2;13,1;12,9;13,1;14,7;15,6;16,1;15,8;17,2;17,7;17,5;17,4;18,4;18,9;17,8;17,8;19,1;18,0;17,4;16,5;
2600000;"ŚWIĘTOKRZYSKIE";;31,5;26,4;25,3;26,8;23,8;24,2;27,0;25,8;29,5;31,0;29,4;33,6;33,6;37,0;36,6;39,4;41,0;41,8;41,8;44,3;
2800000;"WARMIŃSKO-MAZURSKIE";;19,3;16,1;15,3;19,6;17,9;18,5;21,8;22,5;23,3;25,0;28,2;30,8;35,1;38,1;41,9;44,0;45,1;48,4;52,7;57,1;
3000000;"WIELKOPOLSKIE";;32,8;25,3;24,6;28,4;31,4;35,8;40,1;42,9;45,3;48,9;48,1;54,3;54,3;59,5;61,8;64,9;67,2;68,5;66,1;66,3;
3200000;"ZACHODNIOPOMORSKIE";;9,2;8,2;9,0;10,3;10,9;11,6;13,2;13,3;13,3;14,6;14,9;15,4;15,9;17,9;18,7;19,6;19,4;19,6;17,3;18,2;
